STAID, SOUID,    DATE,   TN, Q_TN
   274,   921,18151021,   65,    0
   274,   921,18151022,    2,    0
   274,   921,18151023,   31,    0
   274,   921,18151024,   59,    0
   274,   921,18151025,   41,    0
   274,   921,18151026,   13,    0
   274,   921,18151027,  -15,    0
   274,   921,18151028,   25,    0
   274,   921,18151029,   31,    0
   274,   921,18151030,   47,    0
   274,   921,18151031,   19,    0
   274,   921,18151101,  -38,    0
   274,   921,18151102,    7,    0
   274,   921,18151103,  -27,    0
   274,   921,18151104,  -44,    0
   274,   921,18151105,    2,    0
   274,   921,18151106,   13,    0
   274,   921,18151107,   19,    0
   274,   921,18151108,  -38,    0
   274,   921,18151109,   41,    0
   274,   921,18151110,   53,    0
   274,   921,18151111,   37,    0
   274,   921,18151112,   47,    0
   274,   921,18151113,   47,    0
   274,   921,18151114,  -27,    0
   274,   921,18151115,  -50,    0
   274,   921,18151116,  -72,    0
   274,   921,18151117, -101,    0
   274,   921,18151118,  -78,    0
   274,   921,18151119,  -72,    0
   274,   921,18151120,  -95,    0
   274,   921,18151121,  -44,    0
   274,   921,18151122,  -66,    0
   274,   921,18151123,  -66,    0
   274,   921,18151124,  -78,    0
   274,   921,18151125,  -32,    0
   274,   921,18151126,  -61,    0
   274,   921,18151127,  -44,    0
   274,   921,18151128,  -61,    0
   274,   921,18151129,  -90,    0
   274,   921,18151130,  -78,    0
   274,   921,18151201,   25,    0
   274,   921,18151202,   31,    0
   274,   921,18151203,   25,    0
   274,   921,18151204,    7,    0
   274,   921,18151205,  -10,    0
   274,   921,18151206,   13,    0
   274,   921,18151207,  -15,    0
   274,   921,18151208,  -84,    0
   274,   921,18151209, -118,    0
   274,   921,18151210,  -56,    0
   274,   921,18151211,  -72,    0
   274,   921,18151212,  -32,    0
   274,   921,18151213,  -61,    0
   274,   921,18151214,  -50,    0
   274,   921,18151215,  -32,    0
   274,   921,18151216,   13,    0
   274,   921,18151217,  -50,    0
   274,   921,18151218,  -72,    0
   274,   921,18151219,  -95,    0
   274,   921,18151220,  -56,    0
   274,   921,18151221,    7,    0
   274,   921,18151222,  -56,    0
   274,   921,18151223,  -44,    0
   274,   921,18151224,  -10,    0
   274,   921,18151225,  -44,    0
   274,   921,18151226,  -90,    0
   274,   921,18151227,    2,    0
   274,   921,18151228,  -61,    0
   274,   921,18151229,   19,    0
